5 ,10,10,250.65,45208
11 ,19,19,250.07,45208
17 ,27,27,249.66,45208
23 ,34,34,249.10,45208
29 ,38,38,248.53,45208
35 ,40,40,247.93,45208
41 ,44,44,247.38,45208
47 ,47,47,246.77,45208
53 ,49,49,246.49,45208
59 ,51,51,245.95,45208
65 ,59,59,261.41,45091
70 ,68,68,318.31,44963
76 ,74,74,371.17,44707
81 ,73,73,386.20,44707
87 ,69,69,416.93,44193
92 ,66,66,453.70,44195
97 ,63,63,500.22,44195
103 ,61,61,534.62,44195
108 ,59,59,564.82,44195
113 ,58,58,605.11,43167
119 ,56,56,652.36,43171
125 ,60,60,699.20,43171
131 ,71,71,732.39,43171
137 ,79,79,780.13,43171
143 ,79,79,829.67,43171
150 ,74,74,870.65,43171
156 ,70,70,884.29,43171
162 ,67,67,944.00,43171
167 ,65,65,976.86,43171
173 ,61,61,1033.19,43171
179 ,59,59,1049.46,41123
185 ,58,58,1117.82,41123
190 ,68,68,1118.09,41123
196 ,77,77,1164.27,41123
201 ,85,85,1207.99,41123
206 ,80,80,1255.03,41123
212 ,76,76,1297.01,41123
217 ,72,72,1341.33,41123
224 ,70,70,1378.44,41123
229 ,68,68,1443.48,41123
235 ,65,65,1470.40,41123
241 ,64,64,1523.08,41123
247 ,68,67,1549.21,41123
253 ,76,76,1601.11,41123
259 ,85,85,1637.69,41123
265 ,91,91,1675.47,41123
271 ,82,82,1713.57,41123
276 ,77,77,1741.38,41123
282 ,72,72,1784.74,41123
288 ,69,69,1838.99,41123
294 ,67,67,1836.78,37011
300 ,65,65,1906.44,37027
305 ,65,65,1919.18,37027
311 ,67,67,1945.90,37027
316 ,76,76,1984.54,37027
321 ,83,83,2010.56,37027
327 ,90,90,2051.34,37027
332 ,86,86,2080.90,37027
338 ,82,82,2125.06,37027
344 ,76,76,2166.60,37027
351 ,73,73,2203.46,37027
356 ,72,72,2229.34,37027
362 ,70,70,2265.63,37027
368 ,67,67,2331.90,37027
374 ,72,72,2327.47,37027
380 ,80,80,2400.14,37027
387 ,84,84,2399.33,37027
392 ,79,79,2464.05,37027
399 ,72,72,2459.65,37027
404 ,70,70,2497.37,37027
409 ,68,68,2539.32,37027
415 ,66,66,2548.90,37027
420 ,65,65,2601.33,37027
426 ,63,63,2610.58,37027
431 ,62,62,2663.30,37027
436 ,72,72,2672.74,37027
442 ,81,81,2732.76,37027
448 ,80,80,2728.81,37027
453 ,75,75,2798.45,37027
459 ,71,71,2807.48,37027
465 ,66,66,2860.50,37027
472 ,64,64,2855.18,37027
478 ,62,62,2906.35,37027
485 ,60,60,2915.63,37027
491 ,61,61,2971.54,37027
496 ,70,70,2965.99,37027
502 ,76,76,3024.50,37027
508 ,76,76,3020.71,37027
513 ,71,71,3043.82,37027
518 ,69,69,3089.97,37027
524 ,66,66,3108.66,32915
529 ,64,64,3164.37,32931
534 ,63,63,3187.29,32931
540 ,61,61,3228.32,32931
545 ,60,60,3237.15,32931
551 ,64,64,3293.43,32931
556 ,71,71,3301.53,32931
562 ,74,74,3353.32,32931
568 ,63,63,3360.95,32931
574 ,54,54,3410.77,32931
580 ,47,47,3407.64,32931
587 ,41,41,3469.26,32931
593 ,36,36,3466.26,32931
599 ,32,32,3527.05,32931
606 ,30,30,3521.09,32931
612 ,35,35,3553.40,32931
618 ,43,43,3579.97,32931
624 ,49,49,3637.20,32931
629 ,51,51,3631.88,32931
634 ,48,48,3651.97,32931
640 ,47,47,3693.88,32931
645 ,47,47,3714.01,32931
650 ,46,46,3751.03,32931
656 ,46,46,3758.67,32931
661 ,46,46,3799.08,32931
667 ,45,45,3818.23,32931
673 ,47,47,3857.76,32931
679 ,57,57,3863.75,32931
685 ,66,66,3902.45,32931
691 ,67,67,3921.31,32931
697 ,62,62,3953.38,32931
703 ,55,55,3972.26,32931
709 ,49,49,4007.60,32931
715 ,44,44,4052.54,32931
723 ,42,42,4046.46,32931
728 ,39,39,4098.47,32931
734 ,38,38,4104.35,32931
739 ,46,46,4155.56,32931
745 ,55,55,4149.38,32931
750 ,63,63,4212.91,32931
755 ,65,65,4205.89,32931
761 ,64,64,4223.80,24707
767 ,62,62,4259.36,24739
772 ,59,59,4300.86,24739
778 ,59,59,4300.73,24739
785 ,58,58,4351.79,24739
791 ,58,58,4346.09,24739
797 ,58,58,4406.00,24739
803 ,67,69,4398.55,24739
808 ,74,74,4452.87,24739
814 ,72,72,4445.21,24739
820 ,65,65,4498.37,24739
827 ,60,60,4502.95,24739
833 ,54,54,4544.86,24739
839 ,52,52,4538.07,24739
844 ,49,49,4543.03,45208
850 ,48,48,4535.43,45208
856 ,46,46,4527.84,45208
861 ,57,56,4520.29,45208
867 ,63,63,4512.41,45208
873 ,59,59,4504.76,45208
879 ,55,55,4496.92,45208
885 ,53,53,4489.10,45208
891 ,52,52,4481.48,45208
896 ,51,51,4473.73,45208
902 ,49,49,4465.83,45208
